Frame,Time,RMSD
0,0,0
1,0.04888821,0.646049439907074
2,0.09777642,0.645184636116028
3,0.14666463,1.00170171260834
4,0.19555284,0.951870679855347
5,0.24444105,0.853586614131927
6,0.29332926,0.810161769390106
7,0.34221747,0.861098647117615
8,0.39110568,1.04675304889679
9,0.43999389,1.08399450778961
10,0.4888821,1.11571848392487
11,0.53777031,1.13280522823334
12,0.58665852,1.21768641471863
13,0.63554673,1.45833444595337
14,0.68443494,1.40561652183533
15,0.73332315,1.57414674758911
16,0.78221136,1.60054361820221
17,0.83109957,1.83122324943542
18,0.87998778,2.02901792526245
19,0.92887599,2.02509808540344
20,0.9777642,2.35622930526733
21,1.02665241,2.23230457305908
22,1.07554062,2.59792375564575
23,1.12442883,2.68083477020264
24,1.17331704,2.88727164268494
25,1.22220525,2.97378325462341
26,1.27109346,3.16966843605042
27,1.31998167,3.40188074111938
28,1.36886988,3.3309121131897
29,1.41775809,3.38707828521729
30,1.4666463,3.64056324958801
31,1.51553451,3.58765077590942
32,1.56442272,3.46788573265076
33,1.61331093,3.80163741111755
34,1.66219914,3.74597358703613
35,1.71108735,3.78327441215515
36,1.75997556,4.03180074691772
37,1.80886377,4.10709142684937
38,1.85775198,4.09891605377197
39,1.90664019,4.19330501556396
40,1.9555284,4.24596691131592
41,2.00441661,4.4443097114563
42,2.05330482,4.83249139785767
43,2.10219303,5.24968099594116
44,2.15108124,5.23965835571289
45,2.19996945,5.37450075149536
46,2.24885766,5.47943639755249
47,2.29774587,5.37881565093994
48,2.34663408,5.65448665618896
49,2.39552229,6.03868770599365
50,2.4444105,5.93570566177368
51,2.49329871,6.16486120223999
52,2.54218692,6.1154465675354
53,2.59107513,6.30791473388672
54,2.63996334,6.45357656478882
55,2.68885155,6.45324230194092
56,2.73773976,6.77013492584229
57,2.78662797,6.95136070251465
58,2.83551618,7.22409391403198
59,2.88440439,7.36867237091064
60,2.9332926,7.47001981735229
61,2.98218081,7.70816946029663
62,3.03106902,7.79764270782471
63,3.07995723,8.01583576202393
64,3.12884544,8.38902950286865
65,3.17773365,8.39425754547119
66,3.22662186,8.16696453094482
67,3.27551007,8.12126731872559
68,3.32439828,8.402268409729
69,3.37328649,8.59420585632324
70,3.4221747,8.99625968933105
71,3.47106291,9.24246978759766
72,3.51995112,9.34582424163818
73,3.56883933,9.56079387664795
74,3.61772754,9.49820041656494
75,3.66661575,9.67397403717041
76,3.71550396,9.87921047210693
77,3.76439217,9.90084457397461
78,3.81328038,10.4879570007324
79,3.86216859,10.3499336242676
80,3.9110568,10.2750558853149
81,3.95994501,10.3446598052979
82,4.00883322,10.5666761398315
83,4.05772143,10.6821622848511
84,4.10660964,10.7556133270264
85,4.15549785,10.7833013534546
86,4.20438606,10.7571001052856
87,4.25327427,10.8663558959961
88,4.30216248,11.2540378570557
89,4.35105069,11.3226451873779
90,4.3999389,11.4247360229492
91,4.44882711,11.3419132232666
92,4.49771532,11.2541227340698
93,4.54660353,11.5265121459961
94,4.59549174,11.6561861038208
95,4.64437995,11.7593011856079
96,4.69326816,12.126636505127
97,4.74215637,12.0522623062134
98,4.79104458,12.3060760498047
99,4.83993279,12.5010175704956
100,4.888821,12.8506593704224
101,4.93770921,12.7902488708496
102,4.98659742,12.8135204315186
103,5.03548563,12.857120513916
104,5.08437384,12.9872560501099
105,5.13326205,13.2188682556152
106,5.18215026,13.2509641647339
107,5.23103847,13.1818857192993
108,5.27992668,13.3716287612915
109,5.32881489,13.7715501785278
110,5.3777031,13.8193159103394
111,5.42659131,13.9092798233032
112,5.47547952,14.2896614074707
113,5.52436773,14.2960033416748
114,5.57325594,14.5796003341675
115,5.62214415,15.0712003707886
116,5.67103236,14.9988965988159
117,5.71992057,15.1447219848633
118,5.76880878,15.3453397750854
119,5.81769699,15.3529796600342
120,5.8665852,15.5476560592651
121,5.91547341,15.6822462081909
122,5.96436162,15.9581880569458
123,6.01324983,15.7234516143799
124,6.06213804,15.8378849029541
125,6.11102625,16.0362567901611
126,6.15991446,16.1246128082275
127,6.20880267,16.244758605957
128,6.25769088,16.5258846282959
129,6.30657909,16.5201053619385
130,6.3554673,16.7618865966797
131,6.40435551,16.7903900146484
132,6.45324372,17.3309307098389
133,6.50213193,17.3722019195557
134,6.55102014,17.333324432373
135,6.59990835,17.5154647827148
136,6.64879656,17.7104110717773
137,6.69768477,17.6231727600098
138,6.74657298,17.5555515289307
139,6.79546119,17.7848815917969
140,6.8443494,17.8553333282471
141,6.89323761,17.7098217010498
142,6.94212582,17.6822719573975
143,6.99101403,17.9057083129883
144,7.03990224,18.1026287078857
145,7.08879045,18.5850086212158
146,7.13767866,18.9628086090088
147,7.18656687,18.8640365600586
148,7.23545508,18.9076080322266
149,7.28434329,18.9493865966797
150,7.3332315,19.3946361541748
151,7.38211971,19.5533485412598
152,7.43100792,19.5788841247559
153,7.47989613,19.6337642669678
154,7.52878434,19.8250789642334
155,7.57767255,19.6485767364502
156,7.62656076,19.9531936645508
157,7.67544897,20.1570682525635
158,7.72433718,19.9295825958252
159,7.77322539,19.9864234924316
160,7.8221136,20.3155155181885
161,7.87100181,20.4713764190674
162,7.91989002,20.3086757659912
163,7.96877823,20.5447006225586
164,8.01766644,20.5291423797607
165,8.06655465,20.9364547729492
166,8.11544286,20.9765071868896
167,8.16433107,21.4512538909912
168,8.21321928,21.4378509521484
169,8.26210749,21.5647792816162
170,8.3109957,21.8723297119141
171,8.35988391,21.764518737793
172,8.40877212,22.2290897369385
173,8.45766033,22.5668601989746
174,8.50654854,22.9366092681885
175,8.55543675,22.9419040679932
176,8.60432496,23.2944755554199
177,8.65321317,23.5135459899902
178,8.70210138,23.5598621368408
179,8.75098959,23.7184047698975
180,8.7998778,23.7490520477295
181,8.84876601,23.9553928375244
182,8.89765422,24.1954288482666
183,8.94654243,24.2303409576416
184,8.99543064,24.7882270812988
185,9.04431885,24.5770473480225
186,9.09320706,25.0972919464111
187,9.14209527,25.2394313812256
188,9.19098348,25.2625675201416
189,9.23987169,25.7321376800537
190,9.2887599,25.8462657928467
191,9.33764811,25.957160949707
192,9.38653632,25.969409942627
193,9.43542453,26.3238677978516
194,9.48431274,26.6945648193359
195,9.53320095,26.9587631225586
196,9.58208916,26.7456455230713
197,9.63097737,26.8359642028809
198,9.67986558,27.0489673614502
199,9.72875379,27.2350959777832
200,9.777642,27.2707672119141
201,9.82653021,27.5642642974854
202,9.87541842,27.5519714355469
203,9.92430663,28.1278038024902
204,9.97319484,28.5589694976807
205,10.02208305,28.6348056793213
206,10.07097126,28.5035419464111
207,10.11985947,28.4511108398438
208,10.16874768,28.7549076080322
209,10.21763589,29.29030418396
210,10.2665241,29.4891605377197
211,10.31541231,29.7378196716309
212,10.36430052,30.001407623291
213,10.41318873,29.9908828735352
214,10.46207694,29.8887786865234
215,10.51096515,29.8167934417725
216,10.55985336,29.7188606262207
217,10.60874157,29.8006401062012
218,10.65762978,30.0290870666504
219,10.70651799,30.2057018280029
220,10.7554062,30.2470626831055
221,10.80429441,30.2634716033936
222,10.85318262,30.5284748077393
223,10.90207083,30.5570640563965
224,10.95095904,30.9165630340576
225,10.99984725,31.1261081695557
226,11.04873546,31.5372657775879
227,11.09762367,31.7214183807373
228,11.14651188,31.6937789916992
229,11.19540009,31.8943729400635
230,11.2442883,32.0966491699219
231,11.29317651,32.2167816162109
232,11.34206472,32.2803230285645
233,11.39095293,32.655330657959
234,11.43984114,32.8545036315918
235,11.48872935,33.3814468383789
236,11.53761756,33.3648300170898
237,11.58650577,33.2149505615234
238,11.63539398,33.3054466247559
239,11.68428219,33.4332122802734
240,11.7331704,33.6379356384277
241,11.78205861,33.8579902648926
242,11.83094682,34.1942825317383
243,11.87983503,34.202564239502
244,11.92872324,34.4485626220703
245,11.97761145,34.5679550170898
246,12.02649966,34.6347923278809
247,12.07538787,34.8661613464355
248,12.12427608,35.3119087219238
249,12.17316429,35.2198486328125
250,12.2220525,35.5784873962402
251,12.27094071,35.672176361084
252,12.31982892,35.9940719604492
253,12.36871713,36.3656158447266
254,12.41760534,36.703483581543
255,12.46649355,36.7062759399414
256,12.51538176,37.0127220153809
257,12.56426997,37.2425765991211
258,12.61315818,37.1942825317383
259,12.66204639,37.0998344421387
260,12.7109346,37.1550674438477
261,12.75982281,37.5505104064941
262,12.80871102,37.6517028808594
263,12.85759923,38.007152557373
264,12.90648744,38.3676109313965
265,12.95537565,38.5183982849121
266,13.00426386,38.5497817993164
267,13.05315207,38.2056694030762
268,13.10204028,38.506175994873
269,13.15092849,39.0018692016602
270,13.1998167,39.073802947998
271,13.24870491,39.029167175293
272,13.29759312,39.2796173095703
273,13.34648133,39.2746047973633
274,13.39536954,39.4225692749023
275,13.44425775,39.6311721801758
276,13.49314596,40.3665084838867
277,13.54203417,40.0251121520996
278,13.59092238,40.5530166625977
279,13.63981059,40.8649940490723
280,13.6886988,41.1130142211914
281,13.73758701,41.2551689147949
282,13.78647522,41.484073638916
283,13.83536343,41.6009254455566
284,13.88425164,41.5462493896484
285,13.93313985,41.7938537597656
286,13.98202806,41.6935958862305
287,14.03091627,41.7957305908203
288,14.07980448,42.037281036377
289,14.12869269,42.0273284912109
290,14.1775809,42.1989097595215
291,14.22646911,42.7257194519043
292,14.27535732,42.601146697998
293,14.32424553,42.9776573181152
294,14.37313374,43.075569152832
295,14.42202195,43.3274307250977
296,14.47091016,43.5998420715332
297,14.51979837,43.5396156311035
298,14.56868658,43.8554153442383
299,14.61757479,43.9430656433105
300,14.666463,43.8883972167969
301,14.71535121,44.248908996582
302,14.76423942,44.1016693115234
303,14.81312763,44.0666275024414
304,14.86201584,44.1866264343262
305,14.91090405,44.6223754882812
306,14.95979226,44.4841957092285
307,15.00868047,44.7374534606934
308,15.05756868,44.5905075073242
309,15.10645689,44.9447479248047
310,15.1553451,45.1296005249023
311,15.20423331,45.2646141052246
312,15.25312152,45.3000907897949
313,15.30200973,45.6854972839355
314,15.35089794,45.7134857177734
